非洲,1382
巴基斯坦,1161
泰国,1160
老挝,789
柬埔寨,771
英国,769
哈萨克斯坦,753
缅甸,752
马来西亚,636
越南,562
美国,546
德国,527
白俄罗斯,514
巴西,501
法国,498
意大利,465
斯里兰卡,460
尼泊尔,458
菲律宾,411
日本,394
肯尼亚,393
吉布提,368
塞尔维亚,365
波兰,360
南非,332
孟加拉国,328
印度,326
新加坡,308
匈牙利,272
以色列,266
土耳其,257
西班牙,254
智利,247
荷兰,246
阿根廷,239
乌克兰,222
埃塞俄比亚,216
乌兹别克斯坦,190
澳大利亚,180
新西兰,176
葡萄牙,175
尼日利亚,158
希腊,155
坦桑尼亚,147
摩洛哥,144
阿富汗,141
巴拿马,139
卢旺达,137
墨西哥,137
秘鲁,128
瑞士,120
乌干达,119
马尔代夫,117
苏丹,115
巴林,115
吉尔吉斯斯坦,113
南亚,110
赞比亚,110
保加利亚,106
塞内加尔,106
格鲁吉亚,103
阿曼,101
奥地利,98
亚美尼亚,89
瑞典,89
比利时,87
津巴布韦,86
马耳他,78
约旦,78
土库曼斯坦,76
科威特,73
伊拉克,68
塔吉克斯坦,68
斐济,66
印度尼西亚,61
马达加斯加,58
克罗地亚,56
安哥拉,52
阿塞拜疆,50
莫桑比克,48
蒙古,47
加拿大,46
沙特阿拉伯,46
科特迪瓦,45
挪威,44
纳米比亚,43
卢森堡,42
拉脱维亚,42
加纳,41
阿尔及利亚,41
布隆迪,40
喀麦隆,40
突尼斯,39
爱尔兰,39
卡塔尔,37
罗马尼亚,35
厄瓜多尔,35
哥斯达黎加,35
丹麦,35
芬兰,34
爱沙尼亚,33
哥伦比亚,33
立陶宛,31
利比里亚,31
古巴,30
巴布亚新几内亚,28
巴巴多斯,28
黑山,28
摩纳哥,27
北美,23
多哥,22
黎巴嫩,22
几内亚,21
马里,21
阿尔巴尼亚,21
马拉维,21
牙买加,17
塞浦路斯,15
玻利维亚,14
俄罗斯联邦,13
毛里求斯,13
圭亚那,13
巴哈马,12
东帝汶,11
多米尼克,11
乌拉圭,11
萨尔瓦多,11
索马里,11
莱索托,10
塞拉利昂,9
斯洛文尼亚,9
博茨瓦纳,8
摩尔多瓦,8
萨摩亚,7
库拉索,7
加蓬,7
尼日尔,6
厄立特里亚,6
阿拉伯联合酋长国,6
捷克共和国,5
赤道几内亚,5
冈比亚,4
冰岛,4
毛里塔尼亚,4
格林纳达,4
伯利兹,4
中非共和国,3
汤加,3
瓦努阿图,3
利比亚,3
乍得,3
特立尼达和多巴哥,3
贝宁,2
列支敦士登,2
科摩罗,2
佛得角,2
不丹,2
布基纳法索,1
直布罗陀,1
密克罗尼西亚联邦,1
阿拉伯埃及共和国,1
欧洲联盟,1
尼加拉瓜,1
洪都拉斯,1
帕劳,1
巴拉圭,1
波多黎各,1
